Division,School,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,High Music,High Overall Effect
American A,Pottsgrove,14.7,15.25,15.6,15.9,16.15,77.6,0,0
American A,Coatesville,13.85,13.2,14.15,14.1,14.5,69.8,0,0
Liberty A,Washington Township,13.55,13.85,15.35,15.5,13.8,72.05,0,0
American Open,Sun Valley,13.7,15.2,16.2,16.4,15.8,77.3,31.4,32.2
Liberty Open,Phoenixville,13.9,14.8,16.2,15.7,14.3,74.9,31,30
Yankee Open,Cherokee,14.7,15.1,16.5,15.9,14.9,77.1,31.6,30.8
Yankee Open,Wilson,13.8,14.7,16,15.5,14.5,74.5,30.7,30
Patriot Open,Hempfield,15.8,15.6,17.1,16.4,16,80.9,32.7,32.4
Patriot Open,Boyertown Area,14.5,15.4,16.7,16.8,15.6,79,32.1,32.4
Exhebition,Spring-Ford,13.5,15.3,16.9,16.2,15.8,77.7,32.2,32
American Open,Williamsport Area,15.2,16.5,15.6,15,14.8,77.1,32.1,29.8
Liberty A,Bloomsburg Area,15.35,16.75,14.9,15.15,16.05,78.2,0,0
Yankee A,Berwick Area,14.95,16.95,14.35,14.4,15.85,76.5,0,0
American A,Loyalsock Township,15.3,16.75,14.75,15.3,15.1,77.2,0,0
American A,Shikellamy,15.2,16.55,14.95,15.05,15.3,77.05,0,0
American A,Jersey Shore,14.55,16.3,14.1,14.55,14.35,73.85,0,0
American A,James Buchanan,14.15,14.6,12.85,14.3,14.6,70.5,0,0
Independence A,North Schuylkill,14.7,15.75,14.35,15.05,14.1,73.95,0,0
Exhebition,Shamokin Area,14.35,15.2,14.8,14.5,14.9,73.75,0,0
Liberty Open,Whitehall,14.3,14.6,15.1,15.1,14.9,74,29.7,30
Yankee Open,Nazareth Area,14.6,15.4,15.5,15.5,15.6,76.6,30.9,31.1
Independence A,Pen Argyl,13.5,14.8,13.35,14.95,13.55,70.15,0,0
Independence A,Palisades,12.65,13.6,12.6,12.6,12.55,64,0,0
Patriot A,Pocono Mountain East,14.45,14.4,14.55,14.75,14.75,72.9,0,0
Yankee A,Bangor Area,15.15,15.4,14.8,15.15,15.35,75.85,0,0
Liberty A,Conrad Weiser,18,15.2,15.5,15.15,15.85,79.7,0,0
Liberty A,Hazleton Area,14.55,14.75,13.7,15.55,14.7,73.25,0,0
Liberty A,Saucon Valley,13.65,15,15,14.95,14.2,72.8,0,0
Liberty A,Wilson Area,14.2,14.35,12.45,13.4,12.95,67.35,0,0
Exhebition,Northampton Area,14.95,14.55,14.4,15.35,14.4,73.65,0,0
Liberty Open,Susquehannock,15.3,14.9,15.7,15.6,15.5,77,30.6,31.1
Patriot A,Red Lion Area,15.1,14.9,15.35,14.7,14.2,74.25,0,0
Patriot A,Cumberland Valley,14.55,14.55,14,14.6,13.95,71.65,0,0
American A,Littlestown,14.35,14.65,14.2,13.95,13.85,71,0,0
American A,York Catholic,13.9,13.9,13.95,13.7,13.4,68.85,0,0
Independence A,Donegal HS,15.65,15.1,14.4,15.5,14.1,74.75,0,0
Exhebition,Conestoga Valley,14.15,15.05,14.6,14.3,13.65,71.75,0,0
Independence A,Chichester,15.35,15,13.95,15.1,15.1,73.5,28.95,30.2
Independence A,Bridgeton,14.5,14,13.1,13.4,14.55,67.75,27.1,27.95
Liberty A,Washington Township,15.55,15.4,14.15,15.25,15.75,76.1,29.55,31
Liberty A,Methacton,14.95,15.6,14.5,15.3,15.45,74.6,30.1,30.75
Liberty A,Vineland,14.35,15.8,13.65,14.35,14.95,73.1,29.45,29.3
Liberty A,Haverford,14.55,14.65,14.1,14.55,14.45,71.9,28.75,29
Patriot A,Penncrest,15.15,15.5,15.1,15.2,15.6,76.55,30.6,30.8
American A,Concord,15.55,14.85,15.3,15.75,14.6,76.05,30.15,30.35
Exhebition,West Chester East,15.35,15.05,15.5,15.5,15.55,75.35,30.55,31.05
Patriot Open,Clearview Regional,14.8,14.6,15.8,15.4,16,76.6,30.4,31.4
Yankee A,Cherry Hill East,14.2,13.6,14.45,14.95,15.25,72.45,28.05,30.2
Liberty A,Council Rock North,13.95,13.15,14.2,14.35,14.5,70.15,27.35,28.85
Independence A,Palmyra,13.75,15.5,13.55,14.7,14.05,71.55,29.05,28.75
American A,William Tennent,14.55,13.4,14.15,14.15,14.3,69.55,27.55,28.45
Exhebition,Plymouth Whitemarsh,15.7,14.1,14.95,15.55,15,75.3,29.05,30.55
American A,Big Spring,13.3,15.15,15.55,13.55,14.8,72.35,30.7,28.35
American A,York Catholic,13.85,14.05,14.7,14.1,15.15,71.85,28.75,29.25
American A,Middletown Area,14.35,13.35,13.8,13.75,14.2,69.45,27.15,27.95
Patriot A,Cedar Crest,15.6,16.5,17.75,16.35,16.4,82.6,34.25,32.75
Patriot A,Red Lion Area,15.1,16.25,16,14.45,16.2,78,32.25,30.65
Patriot A,Cumberland Valley,14.85,15.7,15.4,14.4,16,76.35,31.1,30.4
Independence A,Donegal HS,14.9,15.75,17.2,15.7,16.05,79.6,32.95,31.75
Independence A,Biglerville,14.15,14.55,15.75,16.1,15.75,76.3,30.3,31.85
Liberty A,Northern York,15.4,16.1,17.55,16.4,16.35,81.8,33.65,32.75
Liberty A,Conestoga Valley,14.75,15.1,15,15.75,15.7,75.1,30.1,31.45
Yankee A,York Suburban,13.6,16.25,14.6,13.75,14.85,73.05,30.85,28.6
Exhebition,Eastern York,14.8,15.9,15.6,15.95,15.95,78.2,31.5,31.9
Liberty A,Conrad Weiser,16.4,15.75,15.4,15.95,16.05,79.55,31.15,32
Liberty A,Hazleton Area,15.6,15.2,14.25,15.7,15.4,76.15,29.45,31.1
Liberty A,Catasauqua,14.8,15.55,13.65,15.35,15,73.35,29.2,30.35
Yankee A,Pennridge,15.8,16.4,15.2,16.35,16.6,80.35,31.6,32.95
American A,Pottsgrove,16.35,15.8,16.35,17.1,16.7,82.3,32.15,33.8
American A,Governor Mifflin,16.55,15.05,15.45,16.15,15.3,78.5,30.5,31.45
American A,Pottstown,15,15.3,15.5,15.3,15.35,76.45,30.8,30.65
American A,Hatboro Horsham,15.75,14.8,14.75,15.5,14.95,73.35,29.55,30.45
Yankee Open,Nazareth Area,16.4,15.9,16.6,16.4,16.6,81.9,32.5,33
Yankee Open,Warwick,16.1,16.5,15.9,16.2,16.4,81.1,32.4,32.6
Liberty Open,Susquehannock,16.8,16.8,16.7,16.8,16.6,83.7,33.5,33.4
Liberty Open,Whitehall,16.2,15.3,16,16,16.2,79.7,31.3,32.2
Liberty Open,Phoenixville,15.7,15.1,15.7,16.2,15.7,78.4,30.8,31.9
Patriot Open,Upper Moreland,16.9,16.9,17.1,16.8,17,84.7,34,33.8
Patriot Open,Hempfield,17.1,16.5,16.8,17,16.4,83.8,33.3,33.4
Patriot Open,Neshaminy,16.6,15.8,16.5,16.2,16.7,81.8,32.3,32.9
Exhebition,Boyertown Area,16.3,16.2,16.2,16.4,16,81.1,32.4,32.4
Independence A,Pen Argyl,,15.55,15.9,14.6,14.85,75.45,0,0
Independence A,Lackawanna Trail,,15.35,14.2,13.95,13.7,71.85,0,0
Independence A,Palisades,15.35,14.5,12.95,12.95,13.25,67.15,0,0
Liberty A,Northampton Area,14.65,16.1,16.3,14.6,15.15,78.6,32.4,29.75
Liberty A,Saucon Valley,13.5,15.5,14.8,15.2,14.6,75.85,30.3,29.8
Patriot A,Phillipsburg,16.45,14.25,15.15,15,14.8,74.05,29.4,29.8
Exhebition,Bangor Area,15.75,15.75,15.5,15.25,15.05,78.3,31.25,30.3
,,15.05,,,,,,,
,,16.75,,,,,,,
